formulaRank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	id	featureId
1	CH6NO3S	[M + Na]+	CH6NO3S	50.47730302007315	50.47730302007315	0.0	8	0.27603118610821886	1.2941861483189063	3.2719867542463192	-2.5167619429245764		134.99572	190.5525	32_sirius_optimal_424	424
1	C7H3NO4P2S2	[M + Na]+	C7H3NO4P2S2	7.065709405904585	7.065709405904585	0.0	2	0.5290376033689521	-0.4345496930969178	0.4345496930969178	-2.910405582482563		313.88618	195.6125	33_sirius_optimal_1159	1159
1	C6H5OP	[M + Na]+	C6H5OP	-2.0675585253338236	-2.0675585253338236	0.0	2	0.009860007866363391	1.1689355047620045	1.1689355047620045	-6.409083089387436		146.99608	189.245	34_sirius_optimal_1598	1598
1	C2H8NO4S	[M + Na]+	C2H8NO4S	56.688433688099934	56.688433688099934	0.0	11	0.3415232749326958	-1.6499262636271168	1.6499262636271168	0.0943229282860303		165.00664	189.245	35_sirius_optimal_666	666
1	C2H5N2O7P	[M - H2O + H]+	C2H3N2O6P	41.60667127350499	41.60667127350499	0.0	12	0.6236457183436467	2.4961260800978375	2.4961260800978375	-98426.41551265356		182.98059	191.187939453125	36_sirius_optimal_914	914
1	C6H2BO	[M + Na]+	C6H2BO	9.4697506096552	9.4697506096552	0.0	2	0.5343193306047427	10.9624532257575	10.9624532257575	8.760122112040191		123.01380	190.41500000000002	37_sirius_optimal_1419	1419
1	C2H6O3S4	[M + Na]+	C2H6O3S4	16.233883669132975	16.233883669132975	0.0	4	0.05266386110779821	-2.4270559383831727	2.4270559383831727	-2.8777960425403557		228.90854	192.89499999999998	38_sirius_optimal_1097	1097
1	C2H4BNO4P3	[M + H]+	C2H4BNO4P3	27.78978866196453	25.268185173305557	2.5216034886589727	8	0.413043074646232	0.4533382148056694	0.768987882740247	0.42413682229972305		209.95562	189.8175	39_sirius_optimal_421	421
1	C6HBOS2	[M + K]+	C6HBOS2	3.8937668639432834	-2.6425405813085874	6.536307445251871	1	0.0	4.473209951506648	4.473209951506648	4.572256723791401		201.92390	190.22	40_sirius_optimal_46	46
1	C3H2BO4P	[M + Na]+	C3H2BO4P	1.5272188645420193	-2.2188758248682006	3.74609468941022	1	0.0	NaN	NaN	-2.6985116929956092		165.97078	190.965	43_sirius_optimal_762	762
1	C2H6N3O2PS	[M - H2O + H]+	C2H4N3OPS	4.377850597607763	4.377850597607763	0.0	3	0.06179690764730464	-1.7313236282801423	1.7313236282801423	-120081.13773437671		149.98834	191.12	44_sirius_optimal_893	893
1	C7H2OP2	[M + O + H]+	C7H2O2P2	4.524006446933665	4.524006446933665	0.0	4	0.03271081990949198	-0.20949340767915753	1.412804171849884	-1.9839536319842273		180.95992	191.595	45_sirius_optimal_575	575
1	C6H4N3O12P5S	[M + Na]+	C6H4N3O12P5S	0.22689136462584747	0.22689136462584747	0.0	3	0.4337848145628465	-0.4906826734483909	0.5815568545073915	-7.882598568879853		519.80550	193.365	46_sirius_optimal_958	958
1	C6H12O4	[M + H3N + H]+	C6H15NO4	40.539396295811684	35.81672963079547	4.722666665016215	8	0.34703219190074797	-2.642105604531885	2.642105604531885	-0.1469657367335918		166.10736	188.315	47_sirius_optimal_1043	1043
1	C6H4N2O5S2	[M + Na]+	C6H4N2O5S2	67.12909928863051	67.12909928863051	0.0	24	0.7095520249186198	1.1091181776153172	1.75238744948695	0.7605656525884166		270.94559	188.83249999999998	48_sirius_optimal_581	581
1	C7H6N2O4S3	[M - H2O + H]+	C7H4N2O3S3	13.556221021095242	13.556221021095242	0.0	4	0.34930255300793217	-0.1726244573590307	0.2580805123432319	-69020.07840361662		260.94575	192.4575	49_sirius_optimal_833	833
1	HN3O2P2S5	[M + Na]+	HN3O2P2S5	-4.496308505179275	-4.496308505179275	0.0	1	0.0	NaN	NaN	0.10871630247219236		319.80401	189.79000000000002	50_sirius_optimal_479	479
1	C8H3N2O5PS3	[M + Na]+	C8H3N2O5PS3	17.83053695180985	17.83053695180985	0.0	5	0.16093264959785264	-1.859612671930423	4.163018795839745	-1.9096640759154369		356.88271	194.53500000000003	51_sirius_optimal_1377	1377
1	C3H5ClN2O4S	[M + H]+	C3H5ClN2O4S	26.437749933255667	26.437749933255667	0.0	7	0.44338787058678825	1.1705761040994735	1.1705761040994735	-0.35712294228509195		200.97306	189.93	52_sirius_optimal_912	912
1	NS5	[M + H]+	NS5	-5.267297743733399	-5.267297743733399	0.0	1	0.0	NaN	NaN	-0.7173996365962558		174.87058	191.32	53_sirius_optimal_599	599
1	NO6PS6	[M + Na]+	NO6PS6	-4.952036639987432	-4.952036639987432	0.0	1	0.0	NaN	NaN	0.5339148660675533		355.76816	190.18	54_sirius_optimal_414	414
1	C2HCl2NO8	[M + K]+	C2HCl2NO8	-0.9105642607846791	-0.9105642607846791	0.0	1	0.0	3.318741757489424	3.318741757489424	3.300617469298692		275.87199	194.52875	55_sirius_optimal_1067	1067
1	C5H2BrClNO	[M + H]+	C5H2BrClNO	8.847623640185073	8.847623640185073	0.0	3	0.18341361321829827	-1.584841784494714	1.584841784494714	-1.473680985094522		206.90780	192.6	56_sirius_optimal_613	613
1	C4H3NO8S6	[M + Na]+	C4H3NO8S6	-0.8795912266976376	-0.8795912266976376	0.0	1	0.0	NaN	NaN	3.4752645299590283		407.80893	194.38875000000002	57_sirius_optimal_896	896
1	C11H7N2O2P3S5	[M - H2O + H]+	C11H5N2OP3S5	2.3546462405352946	2.3546462405352946	0.0	3	0.300114695102405	-1.3964142126454644	1.3964142126454644	-41422.94484766544		434.82782	198.025	58_sirius_optimal_1055	1055
1	CH8N3O2PS	[M - H2O + H]+	CH6N3OPS	13.179879914179091	13.179879914179091	0.0	3	0.8297584573130764	-4.013984842558665	4.013984842558665	-128644.69489827081		140.00399	191.82	59_sirius_optimal_1418	1418
1	C6H3O3P3	[M - H2O + H]+	C6HO2P3	-2.527253129284591	-2.527253129284591	0.0	3	0.029646894355309084	-2.560750778288482	2.560750778288482	-90539.93737315589		198.92603	188.765	60_sirius_optimal_787	787
